Course,Year,Month,SWE,Meas.Date,Name
157,2008,3,26.5,29-FEB-2008,'DANA MEADOWS'
157,2008,4,31.7,28-MAR-2008,'DANA MEADOWS'
157,2008,5,26.9,25-APR-2008,'DANA MEADOWS'
157,2009,2,15.2,27-JAN-2009,'DANA MEADOWS'
157,2009,3,21.7,22-FEB-2009,'DANA MEADOWS'
157,2009,4,26.5,26-MAR-2009,'DANA MEADOWS'
157,2009,5,26.1,28-APR-2009,'DANA MEADOWS'
157,2010,2,18.0,29-JAN-2010,'DANA MEADOWS'
157,2010,3,23.5,23-FEB-2010,'DANA MEADOWS'
157,2010,4,29.8,28-MAR-2010,'DANA MEADOWS'
157,2010,5,34.5,26-APR-2010,'DANA MEADOWS'
157,2011,2,26.3,28-JAN-2011,'DANA MEADOWS'
157,2011,3,37.0,01-MAR-2011,'DANA MEADOWS'
157,2011,4,47.0,01-APR-2011,'DANA MEADOWS'
157,2011,5,47.2,27-APR-2011,'DANA MEADOWS'
157,2011,6,34.0,03-JUN-2011,'DANA MEADOWS'
157,2012,2,7.2,29-JAN-2012,'DANA MEADOWS'
157,2012,3,7.9,26-FEB-2012,'DANA MEADOWS'
157,2012,4,14.8,29-MAR-2012,'DANA MEADOWS'
157,2012,5,12.0,24-APR-2012,'DANA MEADOWS'
157,2013,2,19.0,27-JAN-2013,'DANA MEADOWS'
157,2013,3,19.0,22-FEB-2013,'DANA MEADOWS'
157,2013,4,17.7,26-MAR-2013,'DANA MEADOWS'
157,2013,5,12.5,27-APR-2013,'DANA MEADOWS'
157,2014,2,3.0,28-JAN-2014,'DANA MEADOWS'
157,2014,3,10.5,22-FEB-2014,'DANA MEADOWS'
157,2014,4,16.0,28-MAR-2014,'DANA MEADOWS'
157,2014,5,12.0,24-APR-2014,'DANA MEADOWS'
157,2015,2,5.0,28-JAN-2015,'DANA MEADOWS'
157,2015,3,7.0,26-FEB-2015,'DANA MEADOWS'
157,2015,4,4.0,27-MAR-2015,'DANA MEADOWS'
157,2015,5,0.0,24-APR-2015,'DANA MEADOWS'
157,2016,2,19.0,29-JAN-2016,'DANA MEADOWS'
157,2016,3,23.5,24-FEB-2016,'DANA MEADOWS'
157,2016,4,26.5,30-MAR-2016,'DANA MEADOWS'
157,2016,5,22.5,25-APR-2016,'DANA MEADOWS'
157,2017,2,42.2,28-JAN-2017,'DANA MEADOWS'
157,2017,3,65.5,02-MAR-2017,'DANA MEADOWS'
157,2017,4,64.0,27-MAR-2017,'DANA MEADOWS'
157,2017,5,69.0,27-APR-2017,'DANA MEADOWS'
157,2018,2,7.5,27-JAN-2018,'DANA MEADOWS'
157,2018,3,9.0,22-FEB-2018,'DANA MEADOWS'
157,2018,4,20.0,26-MAR-2018,'DANA MEADOWS'
157,2018,5,18.5,23-APR-2018,'DANA MEADOWS'
157,2019,2,18.5,28-JAN-2019,'DANA MEADOWS'
157,2019,3,36.0,25-FEB-2019,'DANA MEADOWS'
157,2019,4,44.5,01-APR-2019,'DANA MEADOWS'
157,2019,5,41.4,26-APR-2019,'DANA MEADOWS'
